ID,Name,Age,Salary,Department,Gender,Years of Experience,Education Level,Performance Rating,Date of Hire,Job Title,Manager Name,Phone Number,Email Address,Address
161,Employee 161,57,48296.03,Marketing,Non-binary,28,High School,4.0,2018-11-05,Analyst Marketing,Bob Johnson,257-822-7084,employee161@example.com,"789 Main St, Anytown, USA"
162,Employee 162,41,103885.55,Engineering,Non-binary,24,Master's,4.0,2022-12-08,Manager Engineering,Bob Johnson,693-818-9885,employee162@example.com,"234 Main St, Anytown, USA"
163,Employee 163,65,42632.08,Finance,Male,9,Master's,4.5,2012-02-08,Director Finance,Jane Smith,787-947-6950,employee163@example.com,"901 Main St, Anytown, USA"
164,Employee 164,22,70970.79,Finance,Non-binary,16,Bachelor's,4.0,2013-01-18,Assistant Finance,David Brown,291-793-9360,employee164@example.com,"901 Main St, Anytown, USA"
165,Employee 165,44,102123.82,Finance,Non-binary,22,Associate's,3.5,2011-07-01,Manager Finance,Emily Williams,978-753-3751,employee165@example.com,"1234 Main St, Anytown, USA"
166,Employee 166,33,68252.06,HR,Female,7,Associate's,5.0,2021-06-11,Assistant HR,Jane Smith,898-171-5668,employee166@example.com,"567 Main St, Anytown, USA"
167,Employee 167,29,59968.36,HR,Female,24,Associate's,3.0,2015-07-09,Assistant HR,John Doe,832-629-5086,employee167@example.com,"101 Main St, Anytown, USA"
168,Employee 168,43,74236.1,HR,Female,1,Master's,4.5,2010-05-08,Manager HR,Bob Johnson,462-735-6261,employee168@example.com,"123 Main St, Anytown, USA"
169,Employee 169,52,54985.7,Finance,Non-binary,28,High School,5.0,2010-08-04,Engineer Finance,Emily Williams,852-442-7356,employee169@example.com,"456 Main St, Anytown, USA"
170,Employee 170,65,60361.62,Finance,Male,18,Associate's,5.0,2021-03-07,Engineer Finance,David Brown,891-864-3300,employee170@example.com,"901 Main St, Anytown, USA"
171,Employee 171,51,44646.4,Finance,Non-binary,16,Bachelor's,4.5,2011-07-20,Coordinator Finance,John Doe,953-886-9691,employee171@example.com,"2345 Main St, Anytown, USA"
172,Employee 172,46,49509.37,Marketing,Non-binary,1,Associate's,5.0,2022-09-22,Assistant Marketing,Jane Smith,874-115-8192,employee172@example.com,"456 Main St, Anytown, USA"
173,Employee 173,62,53990.91,Engineering,Female,6,Bachelor's,3.0,2011-10-23,Manager Engineering,Bob Johnson,498-743-8069,employee173@example.com,"567 Main St, Anytown, USA"
174,Employee 174,30,56136.55,Marketing,Non-binary,5,PhD,4.0,2017-12-15,Engineer Marketing,Jane Smith,470-931-3381,employee174@example.com,"890 Main St, Anytown, USA"
175,Employee 175,60,88548.6,Finance,Female,18,Associate's,3.0,2021-08-11,Director Finance,David Brown,807-451-7146,employee175@example.com,"123 Main St, Anytown, USA"
176,Employee 176,39,113206.27,HR,Female,24,PhD,4.0,2022-08-12,Coordinator HR,David Brown,617-670-5586,employee176@example.com,"234 Main St, Anytown, USA"
177,Employee 177,43,114493.71,Marketing,Non-binary,24,Bachelor's,3.5,2022-06-08,Engineer Marketing,Bob Johnson,527-247-9787,employee177@example.com,"101 Main St, Anytown, USA"
178,Employee 178,58,109742.74,Finance,Female,14,Associate's,4.0,2011-10-05,Director Finance,Bob Johnson,368-645-5093,employee178@example.com,"101 Main St, Anytown, USA"
179,Employee 179,62,74756.62,HR,Female,25,High School,3.5,2012-11-21,Analyst HR,David Brown,732-211-8247,employee179@example.com,"101 Main St, Anytown, USA"
180,Employee 180,55,67339.64,Sales,Female,1,Associate's,3.5,2019-05-23,Manager Sales,John Doe,650-488-8223,employee180@example.com,"5678 Main St, Anytown, USA"
181,Employee 181,51,48918.15,HR,Female,5,Bachelor's,3.5,2015-08-05,Analyst HR,David Brown,982-310-5305,employee181@example.com,"1234 Main St, Anytown, USA"
182,Employee 182,47,89496.31,Finance,Non-binary,11,Bachelor's,4.0,2012-02-03,Director Finance,Bob Johnson,855-951-7355,employee182@example.com,"567 Main St, Anytown, USA"
183,Employee 183,48,99331.57,Sales,Non-binary,4,PhD,4.5,2017-10-23,Director Sales,Emily Williams,641-423-1528,employee183@example.com,"567 Main St, Anytown, USA"
184,Employee 184,48,94738.76,Engineering,Non-binary,26,PhD,3.0,2019-05-24,Coordinator Engineering,Emily Williams,847-891-4898,employee184@example.com,"678 Main St, Anytown, USA"
185,Employee 185,47,105415.9,Engineering,Male,30,PhD,3.0,2015-12-22,Director Engineering,Jane Smith,628-280-7457,employee185@example.com,"456 Main St, Anytown, USA"
186,Employee 186,44,118892.14,HR,Non-binary,3,Master's,3.5,2019-04-21,Director HR,Jane Smith,248-294-8782,employee186@example.com,"123 Main St, Anytown, USA"
187,Employee 187,29,94447.92,Engineering,Female,18,PhD,5.0,2021-08-24,Coordinator Engineering,Bob Johnson,733-346-9165,employee187@example.com,"456 Main St, Anytown, USA"
188,Employee 188,39,73911.26,HR,Female,10,Bachelor's,4.0,2017-09-01,Manager HR,David Brown,633-992-8801,employee188@example.com,"101 Main St, Anytown, USA"
189,Employee 189,53,53682.16,HR,Male,23,PhD,4.0,2011-06-06,Analyst HR,David Brown,566-270-7865,employee189@example.com,"456 Main St, Anytown, USA"
190,Employee 190,27,117890.1,Marketing,Male,0,Bachelor's,3.5,2011-06-11,Analyst Marketing,Bob Johnson,132-429-4692,employee190@example.com,"789 Main St, Anytown, USA"
191,Employee 191,54,114504.02,Engineering,Female,28,Bachelor's,4.5,2018-04-03,Director Engineering,Jane Smith,305-701-2191,employee191@example.com,"567 Main St, Anytown, USA"
192,Employee 192,50,62862.98,Engineering,Female,10,Associate's,4.0,2020-05-03,Analyst Engineering,Jane Smith,321-285-8868,employee192@example.com,"2345 Main St, Anytown, USA"
193,Employee 193,43,110475.13,HR,Female,6,PhD,3.0,2022-04-02,Assistant HR,Jane Smith,747-871-7655,employee193@example.com,"1234 Main St, Anytown, USA"
194,Employee 194,38,50368.41,Finance,Non-binary,3,High School,5.0,2013-06-08,Analyst Finance,Bob Johnson,151-229-2010,employee194@example.com,"789 Main St, Anytown, USA"
195,Employee 195,29,93662.87,Engineering,Female,10,Associate's,3.5,2018-10-09,Engineer Engineering,John Doe,860-819-9707,employee195@example.com,"234 Main St, Anytown, USA"
196,Employee 196,41,58845.72,Finance,Female,26,Bachelor's,3.0,2011-02-15,Assistant Finance,John Doe,878-214-3310,employee196@example.com,"1234 Main St, Anytown, USA"
197,Employee 197,60,67759.66,Engineering,Female,20,Associate's,4.0,2011-01-25,Coordinator Engineering,David Brown,783-973-5123,employee197@example.com,"1234 Main St, Anytown, USA"
198,Employee 198,61,83690.11,HR,Female,10,PhD,3.0,2014-03-11,Assistant HR,Bob Johnson,782-895-3815,employee198@example.com,"456 Main St, Anytown, USA"
199,Employee 199,65,87276.98,Marketing,Female,15,High School,4.0,2017-05-14,Coordinator Marketing,John Doe,831-879-5480,employee199@example.com,"2345 Main St, Anytown, USA"
200,Employee 200,31,83987.38,HR,Male,2,High School,4.0,2022-09-09,Engineer HR,Emily Williams,143-454-9436,employee200@example.com,"1234 Main St, Anytown, USA"
201,Employee 201,25,57238.92,Engineering,Female,8,Master's,5.0,2011-09-28,Coordinator Engineering,David Brown,787-951-8026,employee201@example.com,"901 Main St, Anytown, USA"
202,Employee 202,37,78555.5,Marketing,Non-binary,4,PhD,4.0,2012-09-21,Analyst Marketing,Jane Smith,499-622-5540,employee202@example.com,"234 Main St, Anytown, USA"
203,Employee 203,27,54355.78,Marketing,Male,1,PhD,4.0,2015-12-18,Analyst Marketing,David Brown,340-875-6570,employee203@example.com,"234 Main St, Anytown, USA"
204,Employee 204,40,110652.44,Engineering,Non-binary,20,High School,4.0,2023-01-20,Coordinator Engineering,Jane Smith,817-405-7127,employee204@example.com,"234 Main St, Anytown, USA"
205,Employee 205,57,115470.08,Sales,Female,28,PhD,5.0,2022-03-08,Engineer Sales,Jane Smith,447-772-2142,employee205@example.com,"2345 Main St, Anytown, USA"
206,Employee 206,29,105280.01,Marketing,Non-binary,21,Bachelor's,3.5,2022-04-03,Assistant Marketing,Emily Williams,171-624-1066,employee206@example.com,"456 Main St, Anytown, USA"
207,Employee 207,28,80023.23,Marketing,Male,15,Master's,5.0,2023-07-08,Engineer Marketing,Emily Williams,106-328-8888,employee207@example.com,"890 Main St, Anytown, USA"
208,Employee 208,54,118115.22,Finance,Female,20,Bachelor's,4.5,2016-05-13,Manager Finance,John Doe,105-530-8944,employee208@example.com,"890 Main St, Anytown, USA"
209,Employee 209,55,100343.66,Finance,Non-binary,9,Bachelor's,4.0,2019-12-27,Analyst Finance,David Brown,824-978-5476,employee209@example.com,"678 Main St, Anytown, USA"
210,Employee 210,57,40658.64,HR,Non-binary,20,Associate's,3.0,2023-07-01,Assistant HR,Bob Johnson,184-985-5592,employee210@example.com,"123 Main St, Anytown, USA"
211,Employee 211,41,68936.53,Sales,Male,2,High School,4.0,2013-11-09,Engineer Sales,David Brown,365-360-7606,employee211@example.com,"2345 Main St, Anytown, USA"
212,Employee 212,59,85759.09,Finance,Non-binary,23,PhD,3.5,2013-03-08,Assistant Finance,Bob Johnson,856-386-7610,employee212@example.com,"789 Main St, Anytown, USA"
213,Employee 213,37,103928.45,Engineering,Non-binary,15,PhD,3.0,2022-04-11,Engineer Engineering,Bob Johnson,260-512-2855,employee213@example.com,"2345 Main St, Anytown, USA"
214,Employee 214,39,40583.7,HR,Male,16,Master's,3.0,2021-04-03,Engineer HR,John Doe,414-200-1594,employee214@example.com,"123 Main St, Anytown, USA"
215,Employee 215,57,81982.97,Marketing,Female,28,High School,4.0,2019-09-27,Coordinator Marketing,Emily Williams,200-927-8984,employee215@example.com,"789 Main St, Anytown, USA"
216,Employee 216,27,56367.1,Finance,Non-binary,12,PhD,5.0,2015-01-05,Assistant Finance,Emily Williams,917-991-1992,employee216@example.com,"5678 Main St, Anytown, USA"
217,Employee 217,65,79082.75,Sales,Non-binary,24,Associate's,5.0,2017-11-23,Analyst Sales,Jane Smith,834-408-4798,employee217@example.com,"456 Main St, Anytown, USA"
218,Employee 218,38,87649.98,Marketing,Non-binary,17,Master's,3.5,2019-03-03,Engineer Marketing,John Doe,542-537-3118,employee218@example.com,"123 Main St, Anytown, USA"
219,Employee 219,57,76148.45,Sales,Non-binary,14,Master's,5.0,2020-08-01,Director Sales,Jane Smith,631-527-9399,employee219@example.com,"123 Main St, Anytown, USA"
220,Employee 220,22,84157.65,HR,Male,21,PhD,4.0,2018-09-20,Manager HR,Emily Williams,804-655-9252,employee220@example.com,"5678 Main St, Anytown, USA"
221,Employee 221,65,113469.78,HR,Non-binary,9,Associate's,4.5,2016-09-05,Coordinator HR,Bob Johnson,133-467-2649,employee221@example.com,"123 Main St, Anytown, USA"
222,Employee 222,33,91850.73,Finance,Male,22,Associate's,3.0,2017-08-13,Analyst Finance,Jane Smith,592-161-3893,employee222@example.com,"456 Main St, Anytown, USA"
223,Employee 223,23,67571.64,HR,Female,29,High School,4.0,2016-12-22,Assistant HR,Jane Smith,230-242-5342,employee223@example.com,"901 Main St, Anytown, USA"
224,Employee 224,32,53870.95,Marketing,Non-binary,20,Bachelor's,4.5,2022-05-08,Assistant Marketing,John Doe,911-752-4868,employee224@example.com,"123 Main St, Anytown, USA"
225,Employee 225,63,44773.39,Marketing,Male,28,Master's,3.0,2012-03-18,Engineer Marketing,David Brown,253-892-5106,employee225@example.com,"890 Main St, Anytown, USA"
226,Employee 226,58,77113.92,Finance,Male,6,Bachelor's,5.0,2020-11-24,Analyst Finance,John Doe,204-208-2031,employee226@example.com,"901 Main St, Anytown, USA"
227,Employee 227,51,64922.82,Engineering,Female,16,Master's,3.5,2023-05-09,Engineer Engineering,John Doe,748-707-6247,employee227@example.com,"5678 Main St, Anytown, USA"
228,Employee 228,24,111764.83,Sales,Non-binary,25,Master's,4.5,2011-10-07,Director Sales,Jane Smith,203-131-6037,employee228@example.com,"678 Main St, Anytown, USA"
229,Employee 229,38,45307.19,Engineering,Non-binary,8,PhD,5.0,2023-06-27,Analyst Engineering,Jane Smith,668-367-6463,employee229@example.com,"2345 Main St, Anytown, USA"
230,Employee 230,58,49610.64,Sales,Female,12,Associate's,3.0,2011-10-04,Manager Sales,Emily Williams,348-418-8076,employee230@example.com,"1234 Main St, Anytown, USA"
231,Employee 231,44,112889.63,Marketing,Non-binary,22,High School,3.5,2018-09-18,Director Marketing,Emily Williams,336-652-7852,employee231@example.com,"890 Main St, Anytown, USA"
232,Employee 232,30,51509.09,Marketing,Female,22,Bachelor's,4.5,2018-03-09,Director Marketing,David Brown,246-367-3506,employee232@example.com,"567 Main St, Anytown, USA"
233,Employee 233,42,97919.71,Engineering,Male,14,Associate's,4.0,2023-06-18,Assistant Engineering,David Brown,681-413-3717,employee233@example.com,"456 Main St, Anytown, USA"
234,Employee 234,40,59352.89,Marketing,Male,5,High School,3.5,2020-10-12,Engineer Marketing,David Brown,985-407-5557,employee234@example.com,"678 Main St, Anytown, USA"
235,Employee 235,30,53781.64,Sales,Male,9,PhD,5.0,2017-05-11,Analyst Sales,Jane Smith,899-817-2818,employee235@example.com,"567 Main St, Anytown, USA"
236,Employee 236,64,91552.46,Marketing,Male,28,Master's,4.0,2011-11-05,Analyst Marketing,Bob Johnson,555-185-7701,employee236@example.com,"234 Main St, Anytown, USA"
237,Employee 237,32,68501.51,Sales,Female,13,Bachelor's,3.0,2022-06-22,Manager Sales,Jane Smith,194-829-5284,employee237@example.com,"890 Main St, Anytown, USA"
238,Employee 238,54,58912.75,HR,Female,3,Bachelor's,3.0,2018-04-27,Coordinator HR,Emily Williams,910-718-9253,employee238@example.com,"456 Main St, Anytown, USA"
239,Employee 239,65,65383.59,Finance,Female,15,Master's,4.5,2018-04-25,Assistant Finance,Emily Williams,395-445-3583,employee239@example.com,"456 Main St, Anytown, USA"
240,Employee 240,34,93882.86,Sales,Non-binary,11,Associate's,4.0,2016-09-05,Manager Sales,John Doe,772-695-9029,employee240@example.com,"5678 Main St, Anytown, USA"
241,Employee 241,49,41561.11,HR,Non-binary,23,Master's,3.5,2013-06-24,Engineer HR,John Doe,619-232-7287,employee241@example.com,"678 Main St, Anytown, USA"
242,Employee 242,63,41535.2,Marketing,Female,18,Bachelor's,3.0,2019-01-03,Manager Marketing,Jane Smith,391-632-4718,employee242@example.com,"678 Main St, Anytown, USA"
243,Employee 243,51,51600.33,Marketing,Female,5,High School,5.0,2013-02-02,Engineer Marketing,Emily Williams,712-764-3777,employee243@example.com,"789 Main St, Anytown, USA"
244,Employee 244,54,77472.66,Finance,Female,26,Associate's,4.5,2011-11-01,Coordinator Finance,Bob Johnson,238-446-6836,employee244@example.com,"123 Main St, Anytown, USA"
245,Employee 245,33,80239.47,Finance,Female,2,High School,4.5,2017-08-15,Engineer Finance,John Doe,227-105-5621,employee245@example.com,"678 Main St, Anytown, USA"
246,Employee 246,34,100248.97,Sales,Non-binary,0,Bachelor's,4.0,2017-07-26,Engineer Sales,Jane Smith,138-108-9681,employee246@example.com,"101 Main St, Anytown, USA"
247,Employee 247,51,104882.82,Engineering,Male,10,Associate's,4.0,2010-11-11,Manager Engineering,Emily Williams,529-261-8633,employee247@example.com,"1234 Main St, Anytown, USA"
248,Employee 248,44,81613.89,Engineering,Female,4,Associate's,3.0,2023-02-23,Engineer Engineering,Bob Johnson,333-171-4104,employee248@example.com,"5678 Main St, Anytown, USA"
249,Employee 249,37,102914.65,HR,Female,16,PhD,4.5,2021-11-27,Engineer HR,Bob Johnson,273-977-9432,employee249@example.com,"1234 Main St, Anytown, USA"
250,Employee 250,49,93504.25,Finance,Male,1,Bachelor's,3.5,2012-05-21,Engineer Finance,David Brown,437-150-9197,employee250@example.com,"567 Main St, Anytown, USA"
251,Employee 251,34,116123.74,Sales,Female,20,Bachelor's,4.5,2015-10-09,Director Sales,John Doe,786-610-6418,employee251@example.com,"789 Main St, Anytown, USA"
252,Employee 252,31,113823.24,Engineering,Male,21,High School,4.5,2010-03-25,Manager Engineering,David Brown,782-591-9387,employee252@example.com,"456 Main St, Anytown, USA"
253,Employee 253,21,81089.94,Marketing,Non-binary,21,Associate's,5.0,2023-11-01,Engineer Marketing,Bob Johnson,873-935-9862,employee253@example.com,"567 Main St, Anytown, USA"
254,Employee 254,53,112235.82,Engineering,Female,9,Master's,4.0,2023-03-08,Manager Engineering,David Brown,948-257-1144,employee254@example.com,"890 Main St, Anytown, USA"
255,Employee 255,56,105124.34,Finance,Male,18,Associate's,4.0,2012-09-08,Director Finance,Emily Williams,487-304-1295,employee255@example.com,"456 Main St, Anytown, USA"
256,Employee 256,53,43645.41,Marketing,Female,29,Bachelor's,4.0,2020-11-13,Director Marketing,Emily Williams,663-619-2455,employee256@example.com,"123 Main St, Anytown, USA"
257,Employee 257,26,52238.74,Sales,Male,27,Master's,5.0,2019-08-15,Coordinator Sales,Emily Williams,944-420-2479,employee257@example.com,"1234 Main St, Anytown, USA"
258,Employee 258,47,108844.38,Sales,Female,18,Associate's,4.5,2010-08-07,Coordinator Sales,Jane Smith,196-815-6302,employee258@example.com,"901 Main St, Anytown, USA"
259,Employee 259,31,86781.2,Marketing,Non-binary,13,High School,3.5,2014-12-23,Analyst Marketing,David Brown,586-606-2493,employee259@example.com,"1234 Main St, Anytown, USA"
260,Employee 260,41,60484.51,Finance,Non-binary,29,Associate's,3.0,2017-05-26,Coordinator Finance,Emily Williams,364-609-1425,employee260@example.com,"456 Main St, Anytown, USA"
261,Employee 261,58,47339.53,Marketing,Male,24,PhD,5.0,2022-12-15,Director Marketing,John Doe,143-561-9958,employee261@example.com,"123 Main St, Anytown, USA"
262,Employee 262,43,44910.12,HR,Male,10,Bachelor's,3.0,2019-10-26,Manager HR,Bob Johnson,623-526-1515,employee262@example.com,"5678 Main St, Anytown, USA"
263,Employee 263,61,96180.95,HR,Male,13,PhD,4.0,2015-04-23,Engineer HR,Emily Williams,691-948-8802,employee263@example.com,"901 Main St, Anytown, USA"
264,Employee 264,30,55777.49,Engineering,Non-binary,18,PhD,4.0,2023-04-19,Assistant Engineering,David Brown,622-407-3541,employee264@example.com,"456 Main St, Anytown, USA"
265,Employee 265,46,66084.51,HR,Male,27,Master's,3.0,2020-12-07,Coordinator HR,Bob Johnson,143-631-3404,employee265@example.com,"890 Main St, Anytown, USA"
266,Employee 266,37,118411.27,Engineering,Non-binary,29,Master's,4.5,2020-06-15,Analyst Engineering,Jane Smith,316-966-6306,employee266@example.com,"890 Main St, Anytown, USA"
267,Employee 267,56,111621.26,Engineering,Non-binary,0,High School,4.5,2011-05-20,Manager Engineering,Emily Williams,806-790-2526,employee267@example.com,"901 Main St, Anytown, USA"
268,Employee 268,21,80955.69,HR,Female,4,Associate's,5.0,2016-10-18,Manager HR,Bob Johnson,683-346-6239,employee268@example.com,"456 Main St, Anytown, USA"
269,Employee 269,54,76406.0,HR,Female,24,Bachelor's,5.0,2010-01-24,Director HR,John Doe,372-746-6578,employee269@example.com,"1234 Main St, Anytown, USA"
270,Employee 270,60,60938.09,Finance,Male,8,Associate's,3.5,2020-10-19,Manager Finance,John Doe,948-442-6502,employee270@example.com,"2345 Main St, Anytown, USA"
271,Employee 271,35,56248.22,Marketing,Non-binary,10,Associate's,3.5,2018-07-24,Engineer Marketing,Jane Smith,759-668-2453,employee271@example.com,"789 Main St, Anytown, USA"
272,Employee 272,48,119091.3,Sales,Male,12,Bachelor's,3.5,2014-08-02,Engineer Sales,Emily Williams,333-866-9247,employee272@example.com,"890 Main St, Anytown, USA"
273,Employee 273,23,59711.27,Engineering,Male,7,High School,3.0,2017-01-28,Coordinator Engineering,David Brown,889-247-2819,employee273@example.com,"678 Main St, Anytown, USA"
274,Employee 274,51,67947.54,HR,Non-binary,17,PhD,3.0,2010-08-07,Analyst HR,John Doe,731-771-7116,employee274@example.com,"901 Main St, Anytown, USA"
275,Employee 275,33,96104.74,Marketing,Male,6,Bachelor's,3.0,2023-10-09,Director Marketing,David Brown,817-125-1358,employee275@example.com,"456 Main St, Anytown, USA"
276,Employee 276,26,58084.46,Marketing,Male,29,PhD,4.5,2021-02-26,Analyst Marketing,John Doe,448-276-7624,employee276@example.com,"890 Main St, Anytown, USA"
277,Employee 277,30,54038.63,Marketing,Female,0,Associate's,4.5,2020-01-05,Assistant Marketing,Bob Johnson,275-489-2754,employee277@example.com,"456 Main St, Anytown, USA"
278,Employee 278,39,112849.57,HR,Female,5,Associate's,3.0,2012-12-18,Engineer HR,David Brown,707-323-4602,employee278@example.com,"5678 Main St, Anytown, USA"
279,Employee 279,25,87248.93,Engineering,Male,26,High School,3.0,2015-07-06,Manager Engineering,David Brown,499-180-3367,employee279@example.com,"1234 Main St, Anytown, USA"
280,Employee 280,22,65664.95,Finance,Non-binary,13,Bachelor's,3.0,2016-02-14,Director Finance,John Doe,120-940-2301,employee280@example.com,"1234 Main St, Anytown, USA"
281,Employee 281,34,81385.97,Engineering,Male,13,Master's,3.0,2016-06-20,Manager Engineering,Bob Johnson,225-916-2788,employee281@example.com,"101 Main St, Anytown, USA"
282,Employee 282,57,60265.05,Sales,Male,26,Bachelor's,3.5,2017-05-24,Director Sales,Bob Johnson,360-200-1240,employee282@example.com,"789 Main St, Anytown, USA"
283,Employee 283,44,68828.53,Finance,Female,0,PhD,3.5,2021-11-16,Assistant Finance,David Brown,220-943-1726,employee283@example.com,"234 Main St, Anytown, USA"
284,Employee 284,44,115224.8,Marketing,Non-binary,1,PhD,3.5,2020-06-23,Director Marketing,John Doe,446-451-2269,employee284@example.com,"567 Main St, Anytown, USA"
285,Employee 285,21,61789.02,Engineering,Female,6,Associate's,3.0,2011-05-20,Analyst Engineering,John Doe,706-714-3661,employee285@example.com,"1234 Main St, Anytown, USA"
286,Employee 286,31,114627.95,Marketing,Non-binary,4,Master's,4.5,2011-02-15,Engineer Marketing,Jane Smith,475-579-2844,employee286@example.com,"2345 Main St, Anytown, USA"
287,Employee 287,46,111735.48,HR,Female,30,Bachelor's,4.0,2015-06-02,Coordinator HR,Bob Johnson,315-744-8979,employee287@example.com,"1234 Main St, Anytown, USA"
288,Employee 288,32,109194.04,Finance,Non-binary,30,Associate's,5.0,2023-09-04,Coordinator Finance,David Brown,295-214-8564,employee288@example.com,"789 Main St, Anytown, USA"
289,Employee 289,36,82918.18,Engineering,Male,21,Associate's,3.5,2018-11-23,Assistant Engineering,Jane Smith,810-135-4089,employee289@example.com,"101 Main St, Anytown, USA"
290,Employee 290,25,95160.72,Finance,Female,19,Master's,3.0,2021-04-14,Assistant Finance,Jane Smith,386-432-4144,employee290@example.com,"901 Main St, Anytown, USA"
291,Employee 291,62,76545.07,Finance,Non-binary,25,PhD,5.0,2010-11-13,Analyst Finance,John Doe,972-796-4614,employee291@example.com,"567 Main St, Anytown, USA"
292,Employee 292,37,108347.99,Sales,Male,6,Bachelor's,5.0,2014-10-23,Assistant Sales,David Brown,405-181-3983,employee292@example.com,"5678 Main St, Anytown, USA"
293,Employee 293,30,78784.87,HR,Male,18,PhD,4.5,2017-01-23,Engineer HR,David Brown,124-980-1443,employee293@example.com,"901 Main St, Anytown, USA"
294,Employee 294,36,107466.09,Engineering,Non-binary,10,Associate's,4.5,2014-01-09,Director Engineering,John Doe,262-878-9962,employee294@example.com,"890 Main St, Anytown, USA"
295,Employee 295,30,111414.93,Finance,Non-binary,30,PhD,4.0,2015-09-06,Manager Finance,David Brown,146-129-1282,employee295@example.com,"123 Main St, Anytown, USA"
296,Employee 296,43,83171.85,Sales,Male,21,High School,4.0,2016-05-26,Engineer Sales,Emily Williams,654-740-8339,employee296@example.com,"5678 Main St, Anytown, USA"
297,Employee 297,49,84706.97,Finance,Female,12,High School,3.0,2015-08-02,Director Finance,Jane Smith,359-248-2847,employee297@example.com,"567 Main St, Anytown, USA"
298,Employee 298,65,79222.51,Marketing,Male,21,PhD,4.0,2016-04-13,Engineer Marketing,Jane Smith,778-582-2618,employee298@example.com,"234 Main St, Anytown, USA"
299,Employee 299,50,119819.8,HR,Non-binary,4,Bachelor's,5.0,2023-05-08,Director HR,Bob Johnson,961-178-8678,employee299@example.com,"567 Main St, Anytown, USA"
300,Employee 300,24,73615.63,HR,Female,19,PhD,3.0,2020-07-17,Director HR,Bob Johnson,338-857-9398,employee300@example.com,"5678 Main St, Anytown, USA"
301,Employee 301,21,98641.01,Marketing,Non-binary,8,Master's,3.0,2013-09-08,Analyst Marketing,John Doe,223-411-1441,employee301@example.com,"567 Main St, Anytown, USA"
302,Employee 302,27,72148.4,Finance,Female,9,High School,4.5,2011-06-07,Analyst Finance,John Doe,557-202-2769,employee302@example.com,"890 Main St, Anytown, USA"
303,Employee 303,65,74851.49,Finance,Female,3,Master's,3.0,2010-12-10,Engineer Finance,David Brown,197-506-5759,employee303@example.com,"2345 Main St, Anytown, USA"
304,Employee 304,29,84162.13,Engineering,Female,4,Bachelor's,3.0,2014-05-02,Coordinator Engineering,John Doe,520-736-6114,employee304@example.com,"101 Main St, Anytown, USA"
305,Employee 305,22,95676.02,Sales,Female,27,PhD,3.0,2012-01-25,Engineer Sales,John Doe,117-442-9577,employee305@example.com,"123 Main St, Anytown, USA"
306,Employee 306,36,69805.92,Finance,Male,26,Associate's,4.5,2014-10-20,Assistant Finance,Bob Johnson,442-110-1894,employee306@example.com,"2345 Main St, Anytown, USA"
307,Employee 307,65,114680.15,Sales,Male,3,PhD,3.5,2010-10-05,Engineer Sales,Bob Johnson,987-204-8442,employee307@example.com,"123 Main St, Anytown, USA"
308,Employee 308,24,60927.42,HR,Female,14,Associate's,4.0,2021-05-26,Director HR,David Brown,746-868-5775,employee308@example.com,"234 Main St, Anytown, USA"
309,Employee 309,41,93987.63,Marketing,Male,7,High School,3.5,2011-11-07,Assistant Marketing,Emily Williams,929-236-3456,employee309@example.com,"5678 Main St, Anytown, USA"
310,Employee 310,37,74649.1,Sales,Non-binary,17,PhD,4.0,2012-01-13,Coordinator Sales,Bob Johnson,943-600-7803,employee310@example.com,"5678 Main St, Anytown, USA"
311,Employee 311,53,45982.79,Finance,Non-binary,21,Bachelor's,3.5,2018-01-05,Analyst Finance,Emily Williams,232-500-7174,employee311@example.com,"567 Main St, Anytown, USA"
312,Employee 312,30,40893.84,HR,Male,26,Bachelor's,4.0,2010-01-25,Analyst HR,Bob Johnson,739-779-9965,employee312@example.com,"1234 Main St, Anytown, USA"
313,Employee 313,59,60366.35,Marketing,Male,23,Associate's,5.0,2021-02-22,Director Marketing,Bob Johnson,638-176-2396,employee313@example.com,"890 Main St, Anytown, USA"
314,Employee 314,36,66867.02,Engineering,Non-binary,24,PhD,4.0,2023-09-07,Assistant Engineering,Emily Williams,437-424-6528,employee314@example.com,"789 Main St, Anytown, USA"
315,Employee 315,60,77545.35,HR,Female,25,Master's,3.0,2021-06-22,Assistant HR,Emily Williams,676-845-3134,employee315@example.com,"567 Main St, Anytown, USA"
316,Employee 316,54,68972.87,Sales,Female,8,Master's,3.0,2023-01-19,Engineer Sales,Bob Johnson,638-618-1651,employee316@example.com,"2345 Main St, Anytown, USA"
317,Employee 317,55,118663.41,Sales,Non-binary,1,High School,4.5,2023-03-19,Engineer Sales,John Doe,471-607-6060,employee317@example.com,"2345 Main St, Anytown, USA"
318,Employee 318,38,88255.34,Sales,Non-binary,17,Master's,3.5,2012-03-04,Coordinator Sales,Emily Williams,621-496-2088,employee318@example.com,"890 Main St, Anytown, USA"
319,Employee 319,53,99963.98,HR,Non-binary,4,Bachelor's,4.5,2022-09-12,Director HR,John Doe,880-744-9613,employee319@example.com,"101 Main St, Anytown, USA"
320,Employee 320,55,59992.3,Marketing,Female,24,PhD,5.0,2023-07-19,Engineer Marketing,Emily Williams,412-879-6911,employee320@example.com,"890 Main St, Anytown, USA"
321,Employee 321,34,100397.78,Marketing,Non-binary,6,PhD,3.0,2013-08-01,Director Marketing,David Brown,630-226-3297,employee321@example.com,"101 Main St, Anytown, USA"
